2011-05-06\2011-05-07|66603634611322880|0
2011-05-06\2011-05-07|66933001262600192|-1
2011-05-06\2011-05-07|66930014897192960|-1
2011-05-06\2011-05-07|66900362115817472|0
2011-05-06\2011-05-07|66896020642078720|0
2011-05-06\2011-05-07|66884440609144832|0
2011-05-06\2011-05-07|66876709873516545|-1
2011-05-06\2011-05-07|66876485016887296|-1
2011-05-06\2011-05-07|66870142688174081|0
2011-05-06\2011-05-07|66866201434923008|1
2011-05-06\2011-05-07|66866125669007362|0
2011-05-06\2011-05-07|66862198772862976|0
2011-05-06\2011-05-07|66853549425963009|0
2011-05-06\2011-05-07|66853207284002816|-1
2011-05-06\2011-05-07|66851774283268096|0
2011-05-06\2011-05-07|66851774878855168|0
2011-05-06\2011-05-07|66851467167932416|0
2011-05-06\2011-05-07|66850322705948672|0
2011-05-06\2011-05-07|66849999924899840|-1
2011-05-06\2011-05-07|66849431395377152|0
2011-05-06\2011-05-07|66847924977549312|0
2011-05-06\2011-05-07|66847925044654080|0
2011-05-06\2011-05-07|66846462885101568|-1
2011-05-06\2011-05-07|66843944104886272|-1
2011-05-06\2011-05-07|66843661484298240|1
2011-05-06\2011-05-07|66843501094121474|-1
2011-05-06\2011-05-07|66842369709973504|0
2011-05-06\2011-05-07|66842369722556416|0
2011-05-06\2011-05-07|66841680086700032|1
2011-05-06\2011-05-07|66838676059074560|0
2011-05-06\2011-05-07|66838593724874753|0
2011-05-06\2011-05-07|66837998171459584|0
2011-05-06\2011-05-07|66836968318836736|1
2011-05-06\2011-05-07|66836139083960320|1
2011-05-06\2011-05-07|66835750972436480|0
2011-05-06\2011-05-07|66835714855272448|-1
2011-05-06\2011-05-07|66835489667297281|1
2011-05-06\2011-05-07|66835083696410625|1
2011-05-06\2011-05-07|66833195227815936|-1
2011-05-06\2011-05-07|66832600081248256|0
2011-05-06\2011-05-07|66831233807691776|-1
2011-05-06\2011-05-07|66830944639787008|0
2011-05-06\2011-05-07|66830790213906432|-1
2011-05-06\2011-05-07|66830059465490432|-1
2011-05-06\2011-05-07|66829338061967360|-1
2011-05-06\2011-05-07|66823869431951360|-1
2011-05-06\2011-05-07|66822442483593216|1
2011-05-06\2011-05-07|66822097061675008|-1
2011-05-06\2011-05-07|66820127370387456|0
2011-05-06\2011-05-07|66817094888587264|0
2011-05-06\2011-05-07|66817095354163200|0
2011-05-06\2011-05-07|66608450163048449|0
2011-05-06\2011-05-07|66605417979060225|0
2011-05-06\2011-05-07|66591098998501377|1
2011-05-06\2011-05-07|66581837039931392|0
2011-05-06\2011-05-07|66938757756108800|0
2011-05-06\2011-05-07|66938098126295041|-1
2011-05-06\2011-05-07|66937600300158976|0
2011-05-06\2011-05-07|66937470981373952|0
2011-05-06\2011-05-07|66935815514767360|-1
2011-05-06\2011-05-07|66935320691744768|-1
2011-05-06\2011-05-07|66933419946418176|1
2011-05-06\2011-05-07|66933339591938049|-1
2011-05-06\2011-05-07|66933332239327232|-1
2011-05-06\2011-05-07|66932828385984512|-1
2011-05-06\2011-05-07|66932598517153793|-1
2011-05-06\2011-05-07|66932404727713793|-1
2011-05-06\2011-05-07|66932393881247744|0
2011-05-06\2011-05-07|66931442793451520|0
2011-05-06\2011-05-07|66930691048349696|-1
2011-05-06\2011-05-07|66930652997615616|-1
2011-05-06\2011-05-07|66930014897192960|0
2011-05-06\2011-05-07|66929040728129536|-1
2011-05-06\2011-05-07|66928435712360449|0
2011-05-06\2011-05-07|66928066173210624|-1
2011-05-06\2011-05-07|66927269389680640|1
2011-05-06\2011-05-07|66926833937039360|0
2011-05-06\2011-05-07|66926807252877312|0
2011-05-06\2011-05-07|66925762724376576|-1
2011-05-06\2011-05-07|66918313556590592|-1
2011-05-06\2011-05-07|66915991845736448|-1
2011-05-06\2011-05-07|66915653390573568|-1
2011-05-06\2011-05-07|66915177655836672|-1
2011-05-06\2011-05-07|66913611485941760|0
2011-05-06\2011-05-07|66912345905045504|-1
2011-05-06\2011-05-07|66911534114279424|-1
2011-05-06\2011-05-07|66908091215646720|-1
2011-05-06\2011-05-07|66906068168605696|-1
2011-05-06\2011-05-07|66906005472161792|-1
2011-05-06\2011-05-07|66903131639922688|-1
2011-05-06\2011-05-07|66897560698224640|-1
2011-05-06\2011-05-07|66897338202984449|0
2011-05-06\2011-05-07|66894472335720449|-1
2011-05-06\2011-05-07|66893785753321472|-1
2011-05-06\2011-05-07|66893456500473856|-1
2011-05-06\2011-05-07|66893019286224897|-1
2011-05-06\2011-05-07|66892955570552832|-1
2011-05-06\2011-05-07|66892280753176576|-1
2011-05-06\2011-05-07|66891383583158272|0
2011-05-06\2011-05-07|66888662536818688|-1
2011-05-06\2011-05-07|66886675724382208|0
2011-05-06\2011-05-07|66885002725564416|-1
2011-05-06\2011-05-07|66884873486471169|-1
2011-05-06\2011-05-07|66884735602929664|0
2011-05-06\2011-05-07|66884440609144832|-1
2011-05-06\2011-05-07|66884170332389376|-1
2011-05-06\2011-05-07|66883914425303040|0
2011-05-06\2011-05-07|66883818572877824|-1
2011-05-06\2011-05-07|66883632865886208|-1
2011-05-06\2011-05-07|66883264341749760|0
2011-05-06\2011-05-07|66879241798692865|0
2011-05-06\2011-05-07|66879166666113024|1
2011-05-06\2011-05-07|66879002308124672|-1
2011-05-06\2011-05-07|66878409808166912|1
2011-05-06\2011-05-07|66878183584182273|-1
2011-05-06\2011-05-07|66877257662210049|-1
2011-05-06\2011-05-07|66877141479993344|0
2011-05-06\2011-05-07|66876484043800577|0
2011-05-06\2011-05-07|66873797776642049|-1
2011-05-06\2011-05-07|66872142674931712|1
2011-05-06\2011-05-07|66870007786766336|-1
2011-05-06\2011-05-07|66862198772862976|-1
2011-05-06\2011-05-07|66859700238565377|-1
2011-05-06\2011-05-07|66857816182358017|1
2011-05-06\2011-05-07|66857278854266880|-1
2011-05-06\2011-05-07|66857094187466753|-1
2011-05-06\2011-05-07|66853750966464512|-1
2011-05-06\2011-05-07|66853207284002816|-1
2011-05-06\2011-05-07|66851062803468289|-1
2011-05-06\2011-05-07|66850321816748032|-1
2011-05-06\2011-05-07|66850322705948672|-1
2011-05-06\2011-05-07|66849431395377152|-1
2011-05-06\2011-05-07|66847924977549312|-1
2011-05-06\2011-05-07|66846462885101568|0
2011-05-06\2011-05-07|66846454421012480|-1
2011-05-06\2011-05-07|66846317040775168|-1
2011-05-06\2011-05-07|66844056252186624|1
